GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pick-execution-service,com.paklog.wes.pick.domain.entity,PickInstruction,119,338,10,30,37,85,27,40,17,30
pick-execution-service,com.paklog.wes.pick.adapter.rest.controller,PickSessionController,63,197,1,1,14,66,6,10,5,10
pick-execution-service,com.paklog.wes.pick.adapter.rest.controller,MobilePickController,15,195,5,7,5,64,5,9,0,8
pick-execution-service,com.paklog.wes.pick.application.service,PickSessionService,6,347,0,4,0,76,1,19,1,17
pick-execution-service,com.paklog.wes.pick.application.service,PickSessionService.SessionProgress,0,27,0,0,0,1,0,1,0,1
pick-execution-service,com.paklog.wes.pick.domain.aggregate,PickSession,164,664,18,34,49,157,37,58,21,48
pick-execution-service,com.paklog.wes.pick.domain.service,PathOptimizationService,18,424,4,22,4,91,5,22,1,13
pick-execution-service,com.paklog.wes.pick.domain.service,PickPathOptimizer,27,0,0,0,8,0,3,0,3,0
pick-execution-service,com.paklog.wes.pick.domain.valueobject,InstructionStatus,10,55,5,7,1,8,4,5,1,2
pick-execution-service,com.paklog.wes.pick.domain.valueobject,SessionStatus,13,93,10,19,0,14,9,11,0,4
pick-execution-service,com.paklog.wes.pick.domain.valueobject,PickStrategy,11,64,6,10,3,11,6,8,0,4
pick-execution-service,com.paklog.wes.pick.domain.valueobject,Location,5,180,2,14,3,22,2,12,0,6
pick-execution-service,com.paklog.wes.pick.domain.valueobject,PickPath.PathNode,0,39,0,4,0,8,0,3,0,1
pick-execution-service,com.paklog.wes.pick.domain.valueobject,PickPath,8,86,3,9,2,15,3,9,0,6
pick-execution-service,com.paklog.wes.pick,PickExecutionServiceApplication,5,3,0,0,2,1,1,1,1,1
pick-execution-service,com.paklog.wes.pick.application.command,ConfirmPickCommand,5,22,1,1,1,5,1,1,0,1
pick-execution-service,com.paklog.wes.pick.application.command,HandleShortPickCommand,5,29,1,1,1,6,1,1,0,1
pick-execution-service,com.paklog.wes.pick.application.command,StartPickSessionCommand,5,48,1,1,1,9,1,1,0,1
pick-execution-service,com.paklog.wes.pick.infrastructure.events,TaskEventHandler,53,455,24,44,19,99,24,22,0,12
pick-execution-service,com.paklog.wes.pick.infrastructure.config,MongoConfig,0,108,0,0,0,30,0,3,0,3
pick-execution-service,com.paklog.wes.pick.adapter.rest.dto,ConfirmPickRequest,0,9,0,0,0,1,0,1,0,1
pick-execution-service,com.paklog.wes.pick.adapter.rest.dto,StartSessionRequest,0,21,0,0,0,1,0,1,0,1
pick-execution-service,com.paklog.wes.pick.adapter.rest.dto,PickInstructionDto,0,33,0,0,0,1,0,1,0,1
pick-execution-service,com.paklog.wes.pick.adapter.rest.dto,SessionResponse,0,54,0,0,0,1,0,1,0,1
pick-execution-service,com.paklog.wes.pick.adapter.rest.dto,ShortPickRequest,0,12,0,0,0,1,0,1,0,1
pick-execution-service,com.paklog.wes.pick.domain.event,PickSessionStartedEvent,12,33,0,0,4,12,4,4,4,4
pick-execution-service,com.paklog.wes.pick.domain.event,PickSessionCompletedEvent,26,53,2,2,9,15,10,3,8,3
pick-execution-service,com.paklog.wes.pick.domain.event,PickConfirmedEvent,12,27,0,0,4,10,4,3,4,3
pick-execution-service,com.paklog.wes.pick.domain.event,ShortPickEvent,21,36,0,0,7,12,7,3,7,3
pick-execution-service,com.paklog.wes.pick.domain.event,PickSessionCancelledEvent,20,40,1,1,7,12,7,3,6,3
